Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,48.400002,49.299999,48.150002,48.869999,46.808773,144700
2019-01-03,48.500000,48.799999,47.590000,47.880001,45.860531,112300
2019-01-04,48.630001,49.500000,48.259998,49.049999,46.981182,109500
2019-01-07,50.740002,50.740002,49.000000,49.520000,47.431362,139400
2019-01-08,49.950001,50.759998,49.520000,50.689999,48.552010,124800
2019-01-09,50.980000,51.400002,50.330002,50.509998,48.379608,74900
2019-01-10,50.180000,51.509998,50.180000,51.400002,49.232063,84600
2019-01-11,51.000000,51.520000,50.380001,51.349998,49.184166,70900
2019-01-14,51.040001,51.369999,50.580002,50.799999,48.657375,70200
2019-01-15,50.990002,51.669998,50.990002,51.619999,49.442783,79700
2019-01-16,51.400002,52.180000,51.400002,51.790001,49.605602,84500
2019-01-17,51.509998,52.330002,51.509998,52.160000,49.960011,154500
2019-01-18,52.439999,52.910000,51.939999,52.439999,50.228191,114100
2019-01-22,52.139999,52.750000,51.290001,51.669998,49.490673,87600
2019-01-23,51.880001,52.650002,51.099998,51.799999,49.615189,66200
2019-01-24,51.810001,52.900002,51.730000,52.790001,50.563442,90700
2019-01-25,52.980000,53.419998,52.459999,53.180000,50.936989,59800
2019-01-28,52.400002,52.720001,51.410000,51.910000,49.720558,94600
2019-01-29,52.209999,52.400002,51.740002,51.869999,49.682243,65200
2019-01-30,51.930000,52.570000,51.450001,52.299999,50.094109,88900
2019-01-31,52.330002,53.080002,52.150002,52.790001,50.563442,140800
2019-02-01,53.049999,53.360001,52.340000,53.000000,50.764580,82900
2019-02-04,53.169998,54.009998,52.599998,53.930000,51.655361,120400
2019-02-05,55.029999,57.389999,53.849998,56.770000,54.375572,182400
2019-02-06,57.070000,58.639999,56.369999,58.320000,55.860195,93200
2019-02-07,57.730000,59.430000,57.730000,59.189999,56.693504,172300
2019-02-08,59.230000,59.750000,59.000000,59.389999,56.885059,135400
2019-02-11,59.700001,59.980000,58.599998,59.220001,56.722233,134500
2019-02-12,59.560001,59.560001,58.720001,58.939999,56.454048,71900
2019-02-13,58.990002,59.250000,58.610001,58.790001,56.310375,66200
2019-02-14,58.660000,59.480000,58.660000,59.009998,56.521091,150300
2019-02-15,59.220001,60.220001,59.220001,60.160000,57.622589,92100
2019-02-19,59.939999,61.119999,59.900002,60.020000,57.488503,125000
2019-02-20,60.020000,61.009998,59.549999,60.779999,58.216434,109100
2019-02-21,60.759998,61.099998,59.980000,61.049999,58.475044,72500
2019-02-22,61.270000,61.570000,60.279999,60.590000,58.034451,73800
2019-02-25,60.880001,61.380001,60.540001,60.599998,58.044025,83400
2019-02-26,60.669998,61.070000,59.849998,59.930000,57.402279,55300
2019-02-27,59.650002,59.970001,59.180000,59.830002,57.450298,75600
2019-02-28,59.779999,59.869999,58.730000,58.840000,56.499672,94700
2019-03-01,59.380001,59.970001,58.900002,59.849998,57.469501,99700
2019-03-04,60.110001,60.110001,59.049999,59.169998,56.816551,125800
2019-03-05,59.299999,59.299999,58.209999,58.349998,56.029171,78000
2019-03-06,58.119999,58.119999,56.570000,57.099998,54.828884,155300
2019-03-07,57.110001,57.490002,56.349998,57.040001,54.771275,111500
2019-03-08,56.480000,57.939999,56.400002,57.209999,54.934509,156400
2019-03-11,57.380001,58.490002,57.090000,58.009998,55.702690,94800
